date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:38	81594/81594	---MCZ	200	added ('OK')	text/html	etag:W/%2261d90ee6-13eba%22	https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022	/home/krishna/websites/newsPaper%20Builder/epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022.html	(from )
22:57:40	24/24	---M--	200	added ('OK')	text/plain	etag:%225bb3bfdc-18%22	https://epaper.dishadaily.com/robots.txt		(from )
22:57:41	979/979	---M--	200	added ('OK')	image/png	etag:%2272e51ed85a39c34b1ebdbd70febb3c11%22	https://cache.epapr.in/favicon/logo_image_5ea96d4b573eb.png.png	/home/krishna/websites/newsPaper%20Builder/cache.epapr.in/favicon/logo_image_5ea96d4b573eb.png.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:43	25391/25391	---M--	200	added ('OK')	image/gif	etag:%2260e55459-632f%22	https://epaper.dishadaily.com/styles/images/ajax-loader3.gif?v1	/home/krishna/websites/newsPaper%20Builder/epaper.dishadaily.com/styles/images/ajax-loader36654.gif	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:44	74088/74088	---M--	200	added ('OK')	text/javascript	etag:%2255c143761d4a63b0%22	https://cdn.ampproject.org/v0/amp-ad-0.1.js	/home/krishna/websites/newsPaper%20Builder/cdn.ampproject.org/v0/amp-ad-0.1.js	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:47	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	/home/krishna/websites/newsPaper%20Builder/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:48	7083/7083	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-1bab%22	https://code.jquery.com/jquery-migrate-3.0.0.min.js	/home/krishna/websites/newsPaper%20Builder/code.jquery.com/jquery-migrate-3.0.0.min.js	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:48	2211/2211	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d939f2-8a3%22	https://sf.readwhere.com/read/js/libs/detectmobilebrowser.js?v=1457076727	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/read/js/libs/detectmobilebrowser9127.js	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:49	99961/99961	---MCZ	200	added ('OK')	text/css	etag:W/%2254b60a60-18679%22	https://sf.readwhere.com/read/styles/bootstrap3.min.css?v=1421216352	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/read/styles/bootstrap3.min5de8.css	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:51	42744/42744	---MCZ	200	added ('OK')	text/css	etag:W/%225f181d2a-a6f8%22	https://sf.readwhere.com/read/styles/viewer-v4.css?v=1595415850	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/read/styles/viewer-v4dd0d.css	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:52	804/804	---MCZ	200	added ('OK')	text/css	etag:W/%2254b60a60-324%22	https://sf.readwhere.com/read/styles/imgareaselect-default.css?v=1421216352	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/read/styles/imgareaselect-default5de8.css	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:53	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%2258db2e4c-882%22	https://sf.readwhere.com/read/styles/bootstrap-tour.css?v=1490759244	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/read/styles/bootstrap-tour43ab.css	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:53	1590/1590	---M-Z	200	added ('OK')	text/css	etag:W/%2256eb25bf-636%22	https://gitcdn.github.io/bootstrap-toggle/2.2.2/css/bootstrap-toggle.min.css	/home/krishna/websites/newsPaper%20Builder/gitcdn.github.io/bootstrap-toggle/2.2.2/css/bootstrap-toggle.min.css	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:54	4129/4129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2256eb25bf-1021%22	https://gitcdn.github.io/bootstrap-toggle/2.2.2/js/bootstrap-toggle.min.js	/home/krishna/websites/newsPaper%20Builder/gitcdn.github.io/bootstrap-toggle/2.2.2/js/bootstrap-toggle.min.js	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:57:55	492/492	---MC-	200	added ('OK')	text/css	date:Sat,%2008%20Jan%202022%2017:27:55%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,600	/home/krishna/websites/newsPaper%20Builder/fonts.googleapis.com/css0e2b.css	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
